name	alias	gene_ids	rule	module	group	notes
Temperature Sensing	TemperatureSensing	K07778 , K07693 , K10255 , K10256 , K04043 , K03686 , K04079 , K03705 , K13640 , K03053 , K03048 , K01419 , K04080 , K04081 , K03695 , K03687 , K13993 , K04077 , K04078 , K03048 , K10257 , K03704 , K02834 , K05592 , K04455 , K03667 , K04762 , K05801 , K03799 , K07721 , K19411 ,K04083 , K06335 , K05516	K07778|K07693|K10255|K10256|K04043|K03686|K04079|K03705|K13640|K03053|K03048|K01419|K04080|K04081|K03695|K03687|K13993|K04077|K04078|K03048|K10257|K03704|K02834|K05592|K04455|K03667|K04762|K05801|K03799|K07721|K19411|K04083|K06335|K05516	Environmental Adaptation	Temperature Stress	For a genome to have temperature sensing capacity, it must encode at least one part of the canonical two-component system desKR, a heat shock or cold shock protein or associated repressor
Heat Shock	HeatShock	K04043 , K03686 , K04079 , K03705 , K13640 , K03053 , K03048 , K01419 , K04080 , K04081 , K03695 , K03687 , K13993 , K04077 , K04078 , K03048 , K10257 , K03704 , K02834 , K05592 , K04455 , K03667 , K04762 , K05801 , K03799 , K07721 , K19411 , K04083 , K06335 , K05516	K04043|K03686|K04079|K03705|K13640|K03053|K03048|K01419|K04080|K04081|K03695|K03687|K13993|K04077|K04078|K03048|K10257|K03704|K02834|K05592|K04455|K03667|K04762|K05801|K03799|K07721|K19411|K04083|K06335|K05516	Environmental Adaptation	Temperature Stress	For a genome to have heat shock capacity, it must encode at least one heat shock protein or associated repressor
Cold Shock	ColdShock	K10257 , K03704 , K02834 , K05592	K10257|K03704|K02834|K05592	Environmental Adaptation	Temperature Stress	For a genome to have cold shock capacity, it must encode at least one cold shock protein or associated repressor
Arsenic Detox	ArsenicDetox	K03325 arsC, K03892 arsB, K00537 arsM	[K03325&K03892]|K00537	Environmental Adaptation	Heavy Metal Transformations	Arsenate reduction coupled with arsenic export or arsenic methylation/transformation pathways associated with detoxification
Arsenic Redox	ArsenicRedox	K08355/K08356 arrA/arrB, K03893 aioA	[K08355&K08356]|K03893	Environmental Adaptation	Heavy Metal Transformations	Respiratory arsenate reduction or arsenite oxidation linked to arsenic redox meta
Chromium	Chromium	K07240,K19784	K07240|K19784	Environmental Adaptation	Heavy Metal Transformations	Chromate efflux transporter
Copper	Copper	K17686 copA, K07213 cueO, K07787/K07798/K07796 cusABC, K07810 cusF, K01533 copB	[K17686|[K07787&K07798&K07796]]&[K07213|K07810]	Environmental Adaptation	Heavy Metal Transformations	copper export and periplasmic detoxification systems associated with copper resistance and homeostasis
Mercury Detox	MercuryDetox	K08365,K19057,K00520,K08363,K08364	K08365|K19057|K00520|K08363|K08364	Environmental Adaptation	Heavy Metal Transformations	The mer operon encodes a complete mercury detoxification system that senses, imports, and enzymatically reduces toxic ionic mercury (Hg²⁺) to volatile elemental mercury (Hg⁰) for cellular efflux.
Mercury Methylation	MercuryMethylation	(HgcA/Q74D79)	HMM@HgcA	Environmental Adaptation	Heavy Metal Transformations	The HgcAB genes encode the corrinoid-dependent mercury methyltransferase genes that catalyze the methylation of inorganic mercury
EPS Production	EPSProduction	K16566, K16557, K16556, K16555, K19290, K19291, K19293, K19295, K20997, K21001, K21154, K25902, K25904, K25906	K16566|K16557|K16556|K16555|K19290|K19291|K19293|K19295|K20997|K21001|K21154|K25902|K25904|K25906	Environmental Adaptation	Biofilms	EPS production encodes the enzymatic machinery to synthesize, modify, and export high-molecular-weight polysaccharide polymers that form the structural matrix embedding cells within a biofilm, providing protection from desiccation, antimicrobials, and predation while mediating surface attachment and cell-cell cohesion.
Biofilm Production	BiofilmProduction	K19290, K19291, K19293, K19294, K19295, K19296, K11936, K11937, K21001, K20997, K25205, K21461	K19290|K19291|K19293|K19294|K19295|K19296|K11936|K11937|K21001|K20997|K25205|K21461	Environmental Adaptation	Biofilms	Biofilm formation encodes the regulatory and structural machinery that coordinates the transition from planktonic to sessile life — integrating environmental signals through two-component systems and c-di-GMP signaling to trigger irreversible surface attachment, EPS production, and the development of a structured, spatially organized multicellular community.
Motility	Motility	K02410,K02411,K02406,K02407 ,K02400,K02408,K02409,K02412,K02416,K02417,K02386,K02387,K02391,K02393,K02404,K02405	[K02410|K02411]&at_least(3, PRESENCE, [K02406,K02407,K02400,K02408,K02409,K02412,K02416,K02417,K02386,K02387,K02391,K02393,K02404,K02405])	Environmental Adaptation	Motility	For a genome to have capacity for motility, it must encode at least one flagellar motor protein and at least 3 flagellar structure gene
Beta-lactams	Beta-lactams	K18698 , K18699 , K18796 , K18767 , K18797 , K19097 , K19317 , K18768 , K18970 , K19316 , K22346 , K18795 , K19218 , K19217 , K18790 , K18791 , K19098 , K18792 , K19213 , K21276 , K18793 , K18971 , K22352 , K19209 , K18976 , K18973 , K18794 , K18972 , K21277 , K19210 , K19211 , K19212 , K22335 , K19319 , K22331 , K22351 , K19320 , K19318 , K19321 , K19322 , K21266 , K22334 , K22333 , K22332 , K19095 , K19096 , K19100 , K19101 , K19214 , K19215 , K20319 , K20320 , K18782 , K18781 , K18780 , K19099 , K19216 , EC:3.5.2.6	K18698|K18699|K18796|K18767|K18797|K19097|K19317|K18768|K18970|K19316|K22346|K18795|K19218|K19217|K18790|K18791|K19098|K18792|K19213|K21276|K18793|K18971|K22352|K19209|K18976|K18973|K18794|K18972|K21277|K19210|K19211|K19212|K22335|K19319|K22331|K22351|K19320|K19318|K19321|K19322|K21266|K22334|K22333|K22332|K19095|K19096|K19100|K19101|K19214|K19215|K20319|K20320|K18782|K18781|K18780|K19099|K19216|EC:3.5.2.6	Environmental Adaptation	Antibiotic Resistance	PLACEHOLDER RULE - per instruction from Kayla - is any presence for genes in KEGG *need to add in CARD accessions, just used KEGG for now
Macrolides	Macrolides	K00561 , K14336 , K15632 , K18230 , K18231 , K19349 , K19350 , K18232 , K19541 , K08217 , K18833 , K08160 , K06880 , K18235 , K19545 , K18236 , K18234 , K21251 , K06979	K00561|K14336|K15632|K18230|K18231|K19349|K19350|K18232|K19541|K08217|K18833|K08160|K06880|K18235|K19545|K18236|K18234|K21251|K06979	Environmental Adaptation	Antibiotic Resistance	PLACEHOLDER RULE - per instruction from Kayla - is any presence for genes in KEGG *need to add in CARD accessions, just used KEGG for now
Sulfonamides	Sulfonamides	K18974 , K18824 , K18825 , EC:2.5.1.15	K18974|K18824|K18825|EC:2.5.1.15	Environmental Adaptation	Antibiotic Resistance	PLACEHOLDER RULE - per instruction from Kayla - is any presence for genes in KEGG *need to add in CARD accessions, just used KEGG for now
Tetracyclines	Tetracyclines	K08151 , K08168 , K18214 , K18215 , K18218 , K18216 , K18217 , K19542 , K18233 , K18220 , K18221 , EC:1.14.13.231	K08151|K08168|K18214|K18215|K18218|K18216|K18217|K19542|K18233|K18220|K18221|EC:1.14.13.231	Environmental Adaptation	Antibiotic Resistance	PLACEHOLDER RULE - per instruction from Kayla - is any presence for genes in KEGG *need to add in CARD accessions, just used KEGG for now
	ReactionCore		K02703 | K02706 | K02689 | K02690 | K08928 | K08929 | K08940	Antibiotic Resistance	Antibiotic Resistance	
	PigmentBioSyn		at_least(2, PRESENCE, [K04036,K04037,K04038,K03403,K03404,K03405,K03406,K04035,K04040])	Antibiotic Resistance	Antibiotic Resistance	
	ETC60		percent60ComplexIA | percent60ComplexIB | percent60ComplexIC	Antibiotic Resistance	Antibiotic Resistance	
	ETC50		percent50ComplexIA | percent50ComplexIB | percent50ComplexIC	Antibiotic Resistance	Antibiotic Resistance	
	percent50ComplexIA		percent(50,ComplexIA)	Antibiotic Resistance	Antibiotic Resistance	
	percent50ComplexIB		percent(50,ComplexIB)	Antibiotic Resistance	Antibiotic Resistance	
	percent50ComplexIC		percent(50,ComplexIC)	Antibiotic Resistance	Antibiotic Resistance	
	percent60ComplexIA		percent(60,ComplexIA)	Antibiotic Resistance	Antibiotic Resistance	
	percent60ComplexIB		percent(60,ComplexIB)	Antibiotic Resistance	Antibiotic Resistance	
	percent60ComplexIC		percent(60,ComplexIC)	Antibiotic Resistance	Antibiotic Resistance	
	ComplexIA		K00330,[K00331 & K00332 & [K00333 | K00331] & [K13378 | K13380]],K00334,K00335,K00336,K00337,K00338,K00339,K00340,[[K00341 & K00342] | K15863],K00343	Antibiotic Resistance	Antibiotic Resistance	
	ComplexIB		K05574,K05582,K05581,K05579,K05572,K05580,K05578,K05576,K05577,K05575,K05573,K05583,K05584,K05585	Antibiotic Resistance	Antibiotic Resistance	
	ComplexIC		K03945,K03946,K03947,K03948,K03949,K03950,K03951,K03952,K03953,K03954,K03955,K03956,K11352,K11353	Antibiotic Resistance	Antibiotic Resistance	
	CytochromeCOxidase		K02275 | K02274 | K02276 | K15408 | K02277	Antibiotic Resistance	Antibiotic Resistance	
	CytochromeAa3600MenaquinolOxidase		K02827 | K02826 | K02828 | K02829	Antibiotic Resistance	Antibiotic Resistance	
	CytochromeOUbiquinolOxidase		AR	Antibiotic Resistance	Antibiotic Resistance	
	Cyc2		at_least(3, COUNTS, [Cyc2_repCluster1, Cyc2_repCluster2, Cyc2_repCluster3])	Antibiotic Resistance	Antibiotic Resistance	
	PioA		PlaceHolder	Antibiotic Resistance	Antibiotic Resistance	
	foxEYZ		FoxE & FoxY & FoxZ	Antibiotic Resistance	Antibiotic Resistance	
	mtoAB		MtoA & MtoB 	Antibiotic Resistance	Antibiotic Resistance	
	percent50CytochromeBDUbiquinolOxidase		percent(50,CytochromeBDUbiquinolOxidase)	Antibiotic Resistance	Antibiotic Resistance	
	percent50CytochromeCOxidaseCBB3		percent(50,CytochromeCOxidaseCBB3)	Antibiotic Resistance	Antibiotic Resistance	
	CytochromeBDUbiquinolOxidase		K00425,K00426,K00424 | K22501	Antibiotic Resistance	Antibiotic Resistance	
	CytochromeCOxidaseCBB3		K00404 | K00405 | K15862,K00407,K00406	Antibiotic Resistance	Antibiotic Resistance	
	NotNarNapNrf		not(NarNapNrf)	Antibiotic Resistance	Antibiotic Resistance	
	NarNapNrf		NarNitrateReductase | NapNitrateReductase | NRF	Antibiotic Resistance	Antibiotic Resistance	
	NapNitrateReductase	 	K00374 | K02567 | K02568 |  EC:1.9.6.1	Antibiotic Resistance	Antibiotic Resistance	
	NarNitrateReductase		NarG	Antibiotic Resistance	Antibiotic Resistance	
